stock,volume
JPM.PR.A,4537
JRI,2394
AXMT,2
CVCO,4
JPM.PR.C,4464
SCS,16443
CMRE,408
JPM.PR.D,181
OPTT,2665
SCU,100
BBD,253952
BBG,33205
JRO,1865
JRN,2915
BBF,2500
BBH,29131
SCX,85
SCON,1000
JRS,4606
BBK,918
SCOK,115
SCZ,10863
STPZ,2169
JIVE,981
BBL,41472
LXMO,100
BBN,4144
EXETF,3600
SDD,100
BBT,173412
TWTC,39920
SCOR,1362
CEAI,100
BBY,258927
BBX,257
JSD,2958
JSC,112
SMTPD,100
SLAB,526
AXLX,3564099
SDP,25
FNLC,5
PSXP,11899
SDR,1904
BCA,5417
SDT,813
AGMC,3
SDS,496821
BCC,1475
BCF,22837
JSN,4137
VLOWY,320
JSM,1100
BCE,23537
BCH,1502
CMSB,400
STON,10284
KURRY,1
SDY,27070
JST,1357
JRONY,100
FEYE,39000
BSAC,1336
SEA,5758
BCO,5602
CMRX,410
BCR,25012
SEB,13
SEE,22528
BCS,79963
PBEGF,841
MJNA,8117555
SEF,551
BCX,1943
JTA,12457
CVCY,400
IWSY,11500
HCOM,528
SEM,28226
PSWS,10000
JTD,15557
TWSI,235
SEP,3264
HTSI,24346
BDC,2663
TKPPY,3327
A,32824
B,2348
BDE,621
NVEC,416
C,1052885
BDD,2000
STRT,300
D,31992
STRS,1000
SEV,2837
E,18862
AGNC,122897
F,1508811
G,13940
JTP,15256
H,9825
STSA,4116
I,1800
BDJ,86312
K,65467
BDL,1400
L,19254
MLLGF,2700
M,161024
BDN,44693
MSBF,100
CYS.PR.B,1755
N,14557
O,86268
STSI,494051
P,318687
Q,19790
SLCA,19480
CECO,33532
R,22248
LGND,4394
S,1501242
SFE,3519
T,2840418
SFG,1884
V,210542
BDX,57867
X,701512
SFL,17872
SFK,368
IFUS,50000
Y,1811
Z,8511
SFN,224
SFM,5775
CECE,2435
BJRI,16023
AXPW,18400
NVDA,185182
NMRX,13
AGOE,800
BEE,23130
BSCM,214
SCPB,15226
BSCL,752
BSCK,67112
ZURVY,15773
TWTR,2297783
BSCJ,1955
SFY,30689
BSCI,7073
RSKIA,1200
BSCH,11099
BEN,32079
BSCG,4489
BSCF,4406
BEP,100
BSCE,14345
TFSL,14253
SGA,307
CEDU,382
ZMSPF,1000
NVDQ,511
SGG,100
NECB,200
VLGEA,446
SGF,1225
SGI,10925
JVA,2185
NVDL,15997
SGK,10
STRA,3849
SGM,685
STRP,13
SGL,17931
STRM,16912
STRL,815
FNMA,472331
CMTL,1818
BSBR,480660
HTSC,600
STRI,73138
SGU,2650
CEFC,43
NVGC,800
SGY,17403
LPAD,1446
BSDM,17376
APAM,141
BFK,13159
SCSC,1606
DHIL,5
BBBY,55817
BFO,301
CVGI,1990
NVGN,500
ARTNA,38
SMCJY,100
BFS,113
BFR,1900
NVGS,24287
SHG,1798
BFY,1000
SHI,1127
SCSS,27857
BFZ,100
SHM,3920
SVNDY,494
NGPHF,12200
SHO,59240
BGB,7977
BGC,4182
SHV,92055
JWN,52150
MSCC,18122
BBDA,128500
IOGA,375
BGH,23078
BGG,13579
SHW,16815
JRJC,201331
SHY,25778
PBYI,3301
SCRC,20000
MSCI,9018
BBCZ,2600
BGR,6682
BGT,11998
HCSG,1093
SID,271408
OPXA,9500
COGGF,150000
BGS,6566
SIG,63555
SIF,60
MP.PR.D,44
BBCN,2217
SVNDF,142
BGY,14222
FCSMF,65344
SIM,200
SIL,19959
CEFL,8266
NRF.PR.C,185
NRF.PR.B,120
JXI,3168
NRF.PR.A,1
CVGW,645
SIR,38454
MODTQ,1800
BHB,2
BHE,3266
VUME,5000
STTK,122500
MRVNY,2
BSFT,339
BHI,105344
MSFG,827
SIX,18258
BHK,4249
CMXI,20476
HTWR,1311
IOUFF,2000
BHL,594
STWD,10599
SJB,280
BHP,85917
ATADF,100
JALA,28650
MSFT,924837
BHV,1
NVIV,3970
SJI,533
SJM,26040
FNRC,250100
BIB,4261
SJR,5739
STWS,500
FNRG,300
SJT,3382
BID,13542
BIF,765
BSET,160
BIG,9022
SJW,722
ASWRF,7688
BIL,12755
BIK,7134
O.PR.F,1521
KGILF,2910
BIN,2100
APDN,47747
BIP,3477
TIRXF,2000
BIO,553
APNHY,20
IOIL,10
BIT,5300
BIS,3074
BIV,15681
RIBT,1000
SKF,2785
SKH,342
LXRX,2144
SKK,400
AXTI,3137
SCTY,66343
SKM,26366
BBEP,5341
CMXX,6500
JAKK,3776
STVF,35400
AGRT,3
AXTE,15
LDBKY,81
RICK,1900
JZJ,321
SKT,5365
MSEX,575
AGRO,12186
MSHF,200
SKX,4251
RSTAY,23
BJK,1360
GIFI,308
BCAUY,10
FNSR,47414
SLB,218397
AXUT,2
SLF,12468
FFCO,41
DNFGY,38
APEI,1053
SLH,2941
